order_id,date,product,price,qty,zip
1244,2026-04-18,desk lamp,23.89,3,02134
1078,2026-05-21,monitor,145.57,3,02134
1099,2026-05-15,charger,13.54,4,90210
1050,2026-05-03,backpack,40.15,5,90210
1125,2026-04-11,mug,13.44,2,60614
1182,2026-04-15,webcam,46.76,1,30303
1259,2026-05-15,webcam,96.74,5,98101
1061,2026-04-21,monitor,193.29,2,02116
1176,2026-05-11,webcam,63.07,4,90210
1197,2026-05-13,pen set,9.62,4,30303
1069,2026-04-18,notebook,2.93,4,60614
1036,2026-04-08,notebook,5.33,1,10001
1040,2026-05-08,pen set,37.53,3,02134
1145,2026-05-19,notebook,4.87,5,02116
1228,2026-05-04,backpack,20.92,5,90405
1234,2026-05-06,keyboard,69.74,3,02116
1206,2026-04-15,keyboard,24.18,3,10001
1153,2026-04-16,monitor,260.06,3,02116
1239,2026-04-04,mug,6.08,1,90210
1098,2026-05-05,desk lamp,20.35,5,98101
1184,2026-05-14,pen set,13.45,3,10001
1046,2026-04-17,monitor,240.02,4,10001
1245,2026-04-07,monitor,178.24,5,60614
1115,2026-05-02,mug,6.33,3,60614
1240,2026-04-16,headphones,37.53,1,60614
1129,2026-04-29,keyboard,22.32,4,60614
1059,2026-04-06,webcam,69.05,5,02116
1128,2026-04-17,keyboard,54.63,5,98101
1286,2026-05-22,mug,6.15,5,98101
1015,2026-05-24,monitor,186.46,5,90405
1007,2026-04-27,mug,12.27,2,30303
1272,2026-04-12,backpack,20.33,4,02134
1139,2026-05-20,notebook,8.02,1,60614
1198,2026-05-30,keyboard,69.65,4,98101
1161,2026-05-06,notebook,6.78,3,02116
1194,2026-04-16,notebook,7.77,2,02134
1089,2026-04-12,headphones,53.75,1,90210
1267,2026-04-16,mug,5.07,3,02134
1097,2026-05-19,charger,20.75,1,30303
1008,2026-04-22,charger,13.26,4,10001
1028,2026-05-17,backpack,33.25,1,02116
1027,2026-04-20,monitor,210.03,3,90210
1122,2026-05-09,mug,8.68,5,90405
1052,2026-05-14,pen set,9.93,2,02116
1263,2026-05-10,backpack,31.28,1,02116
1058,2026-04-18,pen set,7.68,1,10001
1235,2026-04-17,desk lamp,20.14,5,98101
1187,2026-05-14,mug,8.59,4,90405
1261,2026-05-09,desk lamp,37.53,2,90405
1213,2026-04-27,pen set,7.71,4,02134
1031,2026-05-12,pen set,7.76,2,02116
1001,2026-05-02,notebook,3.03,4,30303
1156,2026-04-06,webcam,68.75,1,90405
1013,2026-04-10,headphones,76.53,4,98101
1009,2026-05-15,monitor,206.82,1,02116
1277,2026-05-27,pen set,9.71,3,02134
1095,2026-05-24,notebook,6.57,2,02134
1034,2026-04-16,monitor,282.06,2,98101
1096,2026-04-25,notebook,6.58,5,30303
1290,2026-05-05,charger,45.63,2,60614
1174,2026-04-26,notebook,6.99,5,90405
1154,2026-04-28,monitor,204.7,5,60614
1181,2026-04-29,keyboard,49.26,4,10001
1045,2026-04-26,desk lamp,14.34,1,10001
1211,2026-05-15,charger,11.31,4,02116
1032,2026-04-21,charger,9.04,2,02134
1077,2026-05-15,pen set,6.68,3,98101
1214,2026-05-02,webcam,52.33,3,02134
1133,2026-04-24,mug,4.88,4,30303
1144,2026-05-03,charger,24.09,3,02116
1063,2026-05-27,backpack,24.75,2,90210
1082,2026-04-07,pen set,13.34,2,02116
1215,2026-05-07,mug,6.93,3,02116
1208,2026-04-27,headphones,71.3,5,98101
1216,2026-05-02,desk lamp,10.31,2,90405
1041,2026-04-11,mug,8.64,3,10001
1173,2026-05-01,charger,5.31,1,30303
1109,2026-04-03,notebook,8.48,2,90210
1190,2026-04-19,backpack,34.13,3,60614
1202,2026-04-07,webcam,114.24,4,30303
1121,2026-05-14,webcam,86.42,4,90405
1051,2026-05-10,backpack,21.15,3,02116
1056,2026-05-09,webcam,90.06,2,90405
1253,2026-04-10,webcam,86.21,1,02134
1158,2026-05-21,webcam,48.56,3,90210
1085,2026-04-29,webcam,43.14,1,60614
1120,2026-05-14,mug,9.1,1,10001
1283,2026-05-09,keyboard,45.46,4,10001
1285,2026-04-27,headphones,101.9,4,02134
1212,2026-05-25,backpack,41.35,5,90210
1270,2026-04-11,monitor,122.55,3,90405
1087,2026-05-06,webcam,85.32,1,90210
1165,2026-04-08,keyboard,46.46,4,30303
1105,2026-05-18,pen set,8.01,4,30303
1223,2026-04-21,monitor,341.77,5,90210
1049,2026-04-18,headphones,47.62,3,02134
1274,2026-04-12,keyboard,33.48,2,60614
1005,2026-05-24,monitor,37.53,2,02134
1017,2026-05-17,keyboard,49.79,1,02116
1226,2026-05-24,keyboard,40.18,2,30303
1116,2026-04-01,pen set,13.49,1,60614
1242,2026-05-24,charger,21.66,2,02116
1106,2026-05-17,charger,27.5,5,90405
1162,2026-05-07,headphones,62.95,4,90405
1134,2026-05-17,notebook,5.09,5,98101
1227,2026-05-29,webcam,47.4,4,90405
1064,2026-05-24,notebook,10.97,1,90210
1026,2026-05-30,pen set,9.51,3,02116
1210,2026-05-16,backpack,41.26,1,02116
1180,2026-04-20,headphones,50.53,3,02134
1100,2026-05-29,keyboard,47.47,3,98101
1135,2026-05-08,notebook,6.3,1,02134
1281,2026-05-26,desk lamp,39.7,1,98101
1268,2026-05-05,webcam,121.94,1,60614
1117,2026-05-14,monitor,199.12,3,98101
1166,2026-04-17,keyboard,42.39,3,98101
1241,2026-05-22,mug,7.34,2,02134
1136,2026-04-15,charger,18.06,5,90210
1029,2026-05-25,charger,12.73,3,60614
1079,2026-04-16,charger,11.62,1,98101
1140,2026-04-18,webcam,38.69,5,98101
1157,2026-04-25,charger,16.85,3,02116
1131,2026-05-29,mug,5.16,5,10001
1039,2026-04-19,monitor,194.19,4,02116
1236,2026-04-20,monitor,236.08,1,02134
1205,2026-05-23,headphones,49.17,4,30303
1054,2026-04-09,webcam,46.37,2,60614
1200,2026-04-05,charger,10.31,4,02134
1043,2026-04-18,pen set,7.19,3,30303
1284,2026-05-10,monitor,273.79,3,02116
1048,2026-05-28,headphones,64.8,3,90405
1035,2026-05-15,desk lamp,17.31,4,90405
1143,2026-04-07,monitor,136.74,1,02134
1053,2026-05-07,webcam,91.68,4,30303
1020,2026-05-22,monitor,251.21,4,60614
1124,2026-05-04,webcam,92.23,1,10001
1142,2026-05-20,pen set,13.18,4,98101
1110,2026-05-28,headphones,55.19,4,60614
1232,2026-04-04,backpack,43.48,5,60614
1076,2026-04-01,mug,8.67,1,30303
1271,2026-04-08,mug,5.16,1,90405
1107,2026-04-30,monitor,329.56,3,02116
1093,2026-04-14,monitor,479.29,1,90210
1012,2026-04-20,monitor,133.4,1,90210
1016,2026-05-20,desk lamp,25.95,4,90210
1047,2026-04-10,charger,17.34,3,60614
1186,2026-04-25,keyboard,42.26,4,02116
1203,2026-05-29,pen set,17.02,2,02116
1256,2026-04-28,desk lamp,45.02,5,90210
1119,2026-05-18,pen set,11.07,5,02134
1021,2026-05-04,notebook,6.35,4,60614
1146,2026-04-06,notebook,5.29,1,02116
1178,2026-05-28,monitor,316.56,5,60614
1083,2026-05-02,webcam,38.9,5,90210
1130,2026-04-06,notebook,6.23,4,10001
1159,2026-05-26,webcam,43.96,3,02134
1127,2026-04-01,pen set,14.33,2,02116
1209,2026-05-28,desk lamp,13.3,1,02134
1221,2026-05-03,charger,13.33,2,90210
1073,2026-04-19,pen set,10.87,3,30303
1229,2026-05-30,keyboard,37.48,5,02116
1033,2026-04-30,backpack,43.71,5,02116
1030,2026-04-30,webcam,76.0,1,10001
1255,2026-04-30,desk lamp,12.52,3,02134
1265,2026-04-15,pen set,14.44,5,90210
1004,2026-05-03,mug,11.87,4,10001
1155,2026-04-08,charger,37.53,3,02134
1019,2026-04-15,headphones,53.58,3,02134
1225,2026-05-28,headphones,43.53,1,02116
1219,2026-05-11,keyboard,55.12,1,90405
1123,2026-04-19,mug,7.6,2,90210
1149,2026-04-23,monitor,247.72,4,02134
1224,2026-04-22,pen set,6.12,2,90210
1247,2026-05-02,headphones,41.25,4,90405
1266,2026-04-04,mug,5.46,1,90210
1151,2026-05-23,headphones,55.22,4,60614
1233,2026-05-09,desk lamp,22.64,4,10001
1010,2026-04-25,webcam,56.38,4,90405
1071,2026-04-06,keyboard,62.01,5,02116
1252,2026-04-06,backpack,41.89,1,02134
1092,2026-05-03,mug,6.21,5,02134
1192,2026-04-02,keyboard,32.97,3,10001
1257,2026-04-18,keyboard,32.92,4,90405
1291,2026-05-05,backpack,53.34,3,30303
1195,2026-04-26,charger,18.17,5,90405
1137,2026-05-19,monitor,191.76,1,90210
1260,2026-04-07,pen set,11.26,2,60614
1038,2026-04-02,headphones,35.57,1,98101
1201,2026-05-09,headphones,39.08,4,60614
1189,2026-05-12,backpack,42.15,3,98101
1251,2026-05-07,keyboard,45.93,4,02134
1112,2026-05-28,headphones,57.63,5,30303
1183,2026-04-12,webcam,37.58,1,90405
1152,2026-05-03,monitor,284.18,1,90405
1191,2026-05-05,pen set,5.82,5,10001
1044,2026-05-07,webcam,40.15,3,60614
1275,2026-05-02,headphones,67.38,2,02116
1006,2026-04-10,keyboard,44.22,5,98101
1250,2026-04-30,desk lamp,16.1,5,10001
1075,2026-05-21,headphones,62.76,3,02134
1000,2026-04-26,notebook,4.17,4,98101
1068,2026-04-17,webcam,106.38,1,90210
1167,2026-04-24,desk lamp,17.81,2,10001
1218,2026-05-03,monitor,161.94,2,30303
1042,2026-05-11,pen set,10.2,2,02134
1072,2026-05-29,keyboard,37.99,1,90405
1023,2026-04-17,backpack,51.31,3,10001
1185,2026-05-21,notebook,3.33,1,98101
1103,2026-04-21,pen set,16.47,3,90405
1067,2026-04-27,backpack,37.93,5,90210
1025,2026-04-27,keyboard,47.3,2,02116
1196,2026-04-25,pen set,8.79,3,90405
1175,2026-05-16,mug,4.63,4,10001
